2023-01-03T09:18Z FINE nudge-shutdown-hook | checking instrumentability for - java/util/concurrent/ConcurrentHashMap$KeySetView (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$GcActivity$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ThreadActivity (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ThreadActivityOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ThreadActivity$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | checking instrumentability for - java/util/concurrent/ConcurrentHashMap$KeyIterator (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$SessionActivity (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$SessionActivityOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$SessionActivity$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/auth/AuthState (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/LazyStringArrayList (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/LazyStringList (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/auth/AuthProtocolState (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/ProtocolStringList (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/routing/HttpRoute (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/UnmodifiableLazyStringList (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/routing/RouteInfo (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/routing/RouteInfo$TunnelType (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$Dictionary (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/routing/RouteInfo$LayerType (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$DictionaryOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/utils/URIBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$Dictionary$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/cookie/CookieOrigin (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965Spec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$RawData$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2109Spec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/CookieSpecBase (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/GeneratedMessage$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/AbstractCookieSpec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/AbstractMessage$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/cookie/CookieSpec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/cookie/CommonCookieAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/Message$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/cookie/CookieAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/MessageLite$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965VersionAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/AbstractMessageLite$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicPathHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965DomainAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/PublicSuffixDomainFilter (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/probe/jmx/ServerConfigBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965PortAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ServerConfig$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicMaxAgeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/AbstractCookieAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicSecureHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicCommentHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/lang/management/ManagementFactory (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965CommentUrlAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2965DiscardAttributeHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2109VersionHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/RFC2109DomainHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/NetscapeDraftSpec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicDomainHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/BasicExpiresHandler (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/cookie/DefaultCookieSpec (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/AuthCache (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/execchain/RequestEntityProxy (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/util/Asserts (BootstrapClassLoader)
