2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/access/JavaIOFilePermissionAccess (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | ignored class : sun/security/util/FilePermCompat (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | ignored class : sun/security/util/SecurityProperties (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/io/FilePermissionCollection (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/io/FilePermissionCollection$1 (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/samples/petclinic/PetClinicApplication (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/loader/BootLoader$PackageHelper (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/SpringApplication (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/ConfigurableBootstrapContext (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/BootstrapRegistry (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/BootstrapContext (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/ApplicationArguments (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/context/ApplicationContext (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/EnvironmentCapable (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/beans/factory/ListableBeanFactory (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/beans/factory/BeanFactory (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/beans/factory/HierarchicalBeanFactory (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/context/MessageSource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/context/ApplicationEventPublisher (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/io/support/ResourcePatternResolver (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/io/ResourceLoader (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/context/ApplicationEvent (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/util/EventObject (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/ExitCodeEvent (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/beans/factory/config/BeanFactoryPostProcessor (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/Environment (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/PropertyResolver (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/ConfigurableEnvironment (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/ConfigurablePropertyResolver (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/convert/ConversionService (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/convert/support/ConfigurableConversionService (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/convert/converter/ConverterRegistry (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/PropertySource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/SimpleCommandLinePropertySource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/CommandLinePropertySource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/EnumerablePropertySource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/core/env/CompositePropertySource (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/apache/commons/logging/LogFactory (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/apache/commons/logging/LogFactory$1 (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/apache/commons/logging/LogAdapter (org.springframework.boot.loader.LaunchedURLClassLoader_2893de87)
